,Title,email,KeyWords,Abstract,domain,Institution,Country,Latitude,Longitude
0,INTEGRATION OF MODEL BASED SYSTEMS ENGINEERING AND COMPLEX SYSTEM GOVERNANCE,@odu.edu,"Model-based Systems Engineering, Complex System Governance","Model Based Systems Engineering has emerged as a formalized modeling approach to support systems from conceptual design through the entire system life cycle. In MBSE, exchange occurs through models as opposed to documents. Complex System Governance is an e merging field focused on performance of nine essential functions necessary to assure continuing system viability (existence). This paper explores the intersection of MBSE with CSG to identify how these two approaches to complex systems might complement and perhaps enhance one another. Three primary aims of the exploration include: (1) a short overview of the central tenets and essence of MBSE and CSG, (2) identification of strengths, limitations, assumptions, and potential compatibility for joint deployment of MBSE and CSG for complex systems, and (3) opportunities for integration of MBSE with CSG to more effectively provide for design of complex systems that meet requirements, including interaction with the operational environment. The paper concludes with opportunities and challenges for further integration of MBSE with CSG. Keywords Model-based Systems Engineering, Complex System Governance Introduction To say that systems engineering is experiencing a dramatic shift is an understatement. While systems engineering has been successful in the past, there are challenges that continue to confound the directions of the field. In Exhibit 1, we identify seven pressures for the evolution of systems engineering for the future. Although each of these pressures can be explained independently, in reality they influence, and are influenced by , the other pressures. They have been designated as ‘pressures’ to acknowledge that their successful navigation will be important in charting the future directions for systems en gineering, and in particular the important role Model Based Systems Engineering  (MBSE) and Complex System Governance (CSG) will be challenged to support. 1. Uncertainty as a Driving Force. The fundamental aspect of uncertainty is that the precise cause -effect relationships cannot be known for complex systems. This challenges more traditional formulations of engineering complex systems that are dependent on ‘reduction’ or being able to reduce a system to the component level and apply the language of  mathematics to understand, and repeatably predict, performance. This assumes that a complex system can be objectively defined, explicitly represented, and fully known. 2. Complexity Increasing in Systems.  The essence of complexity is characterized by a large number of variables/entities, rich interconnections between constituent entities, dynamic behavior instituting changes over time, and emergence of behavior, structure, and performance as the system operates. 3. Information Expansion Accelerating.  It is not a  revelation that information is exponentially increasing. However, information is also challenging systems engineering with respect to veracity, trustworthiness,",odu.edu,Old Dominion University,United States,36.8862699,-76.30972478839735
1,ENGINEERING EDUCATION: RESEARCH AND PROFESSIONAL SKILLS DEVELOPMENT,@lsbu.ac.uk,"Engineering education, research skills, professional skills, pedagogy, case study r esearch.","Engineering education is anchored in developing skills and knowledge related to a core foundation across the areas of science and mathematics as well as  engineering analysis, design and practice. However, engineering students also need to acquire research skills for successful completion of the research project in the near -term combined with enhanced professional skills for more long- term development. The refore, this research study provides the insights gained from the delivery of a dedicated module designed to enable both research and professional skills development for masters level engineering students. The module is based on a unique combination of teaching content related to developing research skills (including the literature review process, research methods, data analysis and modelling, research ethics, research impact and relevance to sustainability) and content related to professional skills (including project management, systems engineering, engineering design, lean engineering and communication). The study includes a supporting literature review that identifies existing engineering education practices. Lessons learn ed and pedagogical insights are identified in regard to the design and delivery of the module, which should be of interest to those involved in the development of engineering education programs. Keywords Engineering education, research skills, professional skills, pedagogy, case study r esearch. Introduction The primary focus of engineering education is to develop the skills and knowledge related to a core foundation across the areas of science and mathematics as well as engineering analysis, design and practice (Philbin, 2020). Therefore, it is the responsibility of engineering faculty to educate students in order to become “ready to engineer”, which means they possess a deep knowledge of technical fundamentals and engineering theory as well as pre-professional engineering skills (Crawley et al., 2014). While this focus needs to be maintained, there are other emerging learning requirements, such as the need to include relevant material on sustainability; the fourth industrial revolution; relevance to employability; as well as adeq uate content related to the contextual application of engineering and corresponding understanding ( Hadgraft & Kolmos, 2020).  Furthermore, there are challenges to be addressed across engineering education in terms of improving the problem -solving and learni ng skills of students, developing soft skills (such as team-working, leadership and communication skills) as well as providing an understanding of enterprise related areas (Philbin, 2021) , such as innovation, entrepreneurship and business management ( Qamar et al.,  2019). These requirements can be viewed in the context of preparing engineering students for eventual employment so they are equipped with the necessary employability skills, termed ‘transversal competencies’ ( Cruz et al., 2020). According to a more holistic perspective of engineering education, it can be observed that engineering curricul a benefit from including teaching content related to conducting engineering research projects ( Baekgaard & Lystbaek, 2019) and improved information literacy (Feldmann & Feldmann, 2000). This includes understanding how to conduct a literature review; design of the research methodology; and an appreciation of data analysis and other related research skills and knowledge. This understanding is required for successful completion of masters level research projects and the subsequent preparation of the thesis, or dissertation (Host et al., 2009) as well as undergraduate capstone research projects ( Van Bossuyt et al., 2019). Therefore, engineering students need to acquire research skills for successful completion of the research project in the near -term combined with enhanced professional skills for more long- term development and employability prospects . This can potentially be achieved through the delivery of a dedicated engineering module (or class) that includes intra -curricular teaching material specifically designed to integrate  both research and professional skills and knowledge into engineering education programs. The structure of this article is as follows. After the  introduction is the literature review relating to research and professional skills development in engineering education. This is followed by the case study investigation, which examines",lsbu.ac.uk,,,51.503052,-0.118391
2,AN ANALYTICAL APPROACH FOR MANAGING INTEGRATION OF NEW TECHNOLOGIES,@nps.edu,"Mission Engineering, Military Decision-Making Process, Technology Integration, Innovation, Adoption.","Barriers to technology integration into an enterprise are constantly present in engineering efforts. This paper discusses integration from the standpoint of mission engineering which emphasizes incorporating new capabilities to achieve desired mission effects . This viewpoint underscores the core nature of integration in mission engineering as  the operationalization of a system into an existing organization. As such, mission engineering integration goes beyond the amalgamation of components into a singular product; it highlights the complexities of system of systems. This paper introduces three phases of integration (transition, adoption, and diffusion), applies decisional survey methodology to examine technology projects from the Navy Environmental Sustainability Development to Integration program, and develops a mathematical model to inform decisionmakers about the likelihood that a proposed new technology will be integrated into the enterprise. Th is work offers engineers with a means to manage the integration of new technologies by first identifying highly integrable technologies. The scope of this work focuses on the second phase of integration, adoption . The contribution of this study is an analytic model to gage the likelihood of adoption  in mission engineering. As such, the methodology outlined in this paper may be applied to cons truct mathematical models for other phases of integration. Keywords Mission Engineering, Military Decision-Making Process, Technology Integration, Innovation, Adoption. Introduction In an increasingly budget-constrained environment, leaders in the Department of Defense (DOD) must make cost- effective decisions for selecting which requirements or capabilities to fund. The backdrop to many of these decisions is the rapid insertion of cutting -edge technologies from the private sector. These innovative and disruptive technologies offer great promise, but also present new risks when integrated into the target system. Due to these risks, the organization receiving the new technology may choose to not adopt the new technology, resulting in wasted time and resources. A failure to integrate a new technology into the enterprise occurs for numerous reasons. Thus, it is a primary objective of this study to d etermine which factors are critical for  successful adoption of new technologies . I n identifying characteristics of integrable technologies, the authors intend to help decision makers in their invest ment strategies. A key effort in this work is developing a mathematical model that quantifies the likelihood of a technology being effectively integrated into the enterprise. The following sections examines the Naval Environmental Sustainability Development to Integration (NESDI) as a case study  (Hernandez, Eldred, Khan, and Parker 2020) . In past years, NESDI leaders have witnessed an unsatisfactory proportion of funded technology projects achieve full integration into the Navy enterprise. The impetus of the study is to address NESDI’s need for a quantifiable approach to select candidate projects in which to invest. We describe the research environment at NESDI and the approach for gathering and analyzing data. Construction of the predictive model applies a logistics regression approach  using the JMP software to mathematically characterize the proposed technology solutions (Sall et al. 2007). The resultant expressions predict the likelihood that specific adoption measures will achieve high marks, which indicate that an organization will adopt the new technology.",nps.edu,Naval Postgraduate School,United States,36.598,121.875
3,RESULTS OF ROLE DELINEATION STUDY TO DEVELOP EXAM BLUEPRINT FOR CPEM AND CAEM CERTIFICATION EXAMS,@stcloudstate.edu,"Role delineation study, competency area, validation, survey, engineering management, certification, exam blueprint","A role delineation study is used to identify and validate the competency areas required to function in a job role in any discipline. This study aimed to validate the competency areas of the Engineering Management Body of Knowledge (EMBOK) and to obtain a blueprint of certifications offered by the American Society for Engineering Management (ASEM). The EMBOK is a foundational guide for multi-level professional certifications– the Certified Associate in Engineering Management (CAEM) & the Certified Professional in Engineering Management (CPEM). Before this research, a study was conducted in 2014 that emphasized on delineating competency areas for all domains of the EMBOK. In the past 7 years, significant progress has been made in the discipline that has prompted the need for revalidating competencies in the Engineering Management domain. To collect comprehensive data, an online survey methodology was used to gather feedback from industry experts in the field of engineering management. The survey consisted of demographic questions followed by questions to rate  the importance of competency areas of all domains of the EMBOK. The respondents were also asked to include or exclude those specific domain areas in both CAEM & CPEM exams on a dichotomous scale. The competency areas were categorized based on the mean and standard deviation of the ratings. An exam blueprint was obtained for the certification exams and the competency areas in the EMBOK were also validated through the study. Keywords Role delineation study, competency area, validation, survey, engineering management, certification, exam blueprint Introduction The American Society for Engineering Management (ASEM)  is a globally recognized society that drives initiatives to promote development in Engineering and Management discipline which is receiving growing attention in the industry consistently. ASEM defines engineering management as “an art and science of planning, organizing, allocating resources, and directing and controlling activities that have a technological component” (Shah & Nowocin, 2019). ASEM offers two levels of professional certification: Certified Associate in Engineering Management (CAEM) and Certified Professional in Engineering Management (CPEM). Over the years, ASEM supported many aspiring and experienced Engineering management (EM) prof essionals to excel in the technical and management area. This is achieved through industry-recognized examinations of CAEM and CPEM which are essentially based on the Engineering Management Body of Knowledge (EMBOK) guide. The EMBOK is uniquely designed to serve as a framework for advancement in the field. However, in the past 7 years, the competency areas of the EMBOK were not validated . The revalidation of these competency areas was critical to bridging any gaps due to recent industry trends in the engine ering management field . This paper presents the latest process of validation of all the domains of the EMBOK . The following research questions were formulated to guide the study: 1. What are the existing competency areas that should be included in the CAEM a nd CPEM examinations?",stcloudstate.edu,Saint Cloud State University,United States,45.0667,-94.1667
4,FIRMS AND THEIR LIFECYCLE: CIRCUMSTANCES THAT IMPEDE THE LEARNING PROCESS IN HI-TECH MARKETS,@uqo.ca,"market lifecycle, clock speed, deep structure, surface structure, disruptive technological intrusions, hi -tech sector,","Learning is often an essential component and a predictor of a firm’s capacity to adapt and to survive in emerging markets. However, there are circumstances where a firm’s ability to learn and accommodate change is impeded, which could become a liability fo r long-term survival. Often the inability to adapt is overlooked by change management experts and those using learning as a strategic tool due to bias from cultural thinking; particularly when trends occurring in the market are complex and are not easily i dentifiable or discernible. Such complex scenarios will lead to market turmoil, which will obscure information from firms that could have been extracted from data and often produce market transients that are of low signal to noise ratio; thereby, undermini ng the learning process for firms. This article will explore the market evolution of firms and their lifecycle and will also examine classic failures in the learning process due to the mismatch of knowledge derived from learning itself with corporate leadership and/or corporate culture. Additionally, an explanatory framework based on the lifecycle concept will be used to identify market constraints imposed upon firms.  This article will further outline the two levels superimposed on the lifecycle core, which include the deep structure and the surface structure that can pose essential barriers and constraints for firms in relation to the learning process and to their long-term market survival. Keywords market lifecycle, clock speed, deep structure, surface structure, disruptive technological intrusions, hi -tech sector, learning process, learning failures. Introduction The learning process has very definite markers in the market and is a structured endeavor, but firms may fail to internalize knowledge derived from the learning process. Likewise, the market can create circumstances where firms are either limited or unable to generate and utilize appropriate knowledge from the learning process. This article will analyze three categories  that firms may face in the market, which represent learning failures; namely, the circumstances that constrain learning within firms, structures of the market that interfere with the learning process, and disruptive technology intrusions that prevent firms from learning.  Additionally, these types of failures can result or be compounded by a firm’s position in the lifecycle and obstacles that they may have in relation to the market. The examples used in this article are drawn from the hi -tech sector as the three possible categories that firms may face occur more frequently than in other sectors. Firms must be able to discern meaningful patterns from emerging changes occurring in the market, align and possess the ability to accurately interpret the meaning of environmental signals to meet the requirements involved with the learning process.  Firms will need to isolate these environmental signals from excessive background noise, which may be particularly  difficult if these signals are of low intensity . These environmental signals  can be too embedded in the noise background for firms to accurately identify them in a timely manner. Learning failures could be generated in this situation, which will undermine the capacity for firms to survive long-term in the market. If market related events are unfolding too quickly, firms may not be able to discern or anticipate patterns  quickly enough and this will result in their corporate decisions and responses being implemented too late for these to have a meaningful impact.",uqo.ca,Université du Québec en Outaouais,Canada,45.42226325,-75.73909824426678
5,SYSTEM IMPROVEMENT OPPORTUNITIES ACROSS WATER INFRASTRUCTURE MANAGEMENT,@ttu.edu,"Infrastructures, Sustainment, Isomorphology, Water Resource Management","Concerns over both water quality and  quantity continue to increase around the world.  As the need for useable and potable water becomes more of a world-wide issue, there is an opportunity to review and consider alternatives to how water is used, consumed, and sustained for future use for the world's population.  Review of data across many cities within the United States shows opportunities for improvements  in water infrastructure systems.  Making small improvements throughout these systems would help increase the amount of useable water throughout the country. Using data provided from the American Water Works Association (AWWA) Water Audit Reference Dataset (WARD) and the Water Research Foundation (WRF), information is provided to define data driven opportunities to mitigate water losses throughout American Water Infrastructure systems. Variables and causes are identified which if improved, would make the most significant impact to better overall water system sustainment. Keywords Infrastructures, Sustainment, Isomorphology, Water Resource Management Introduction As the world population continues to grow, so does the concern of quantity and quality of water.  T he United States (U.S.) Environmental Protection Agency (EPA), the Water Research Foundation (WRF), and the American Water Works Association (AWWA) have made strides in developing and implementing methods to track, mitigate , and reduce water system losses within the infrastructure (EPA, 2010).  However, most U.S. states have not adopted many of these methodologies as a result of cost, lack of proper governance, and insufficient technical management (AWWA, 2016; Horbatuck, Burgess, & Beruvides, 2018; Rouse, 2013).  M any systems in place today are old, inefficient, and lack resiliency and sustainability.  T he action to implement improvements throughout these systems would help increase the amount of useable water throughout the country (Horbatuck, Burgess, & Beruvides, 2018). With the issue of usable  and available water being a focal point  around the world, more  research is being conducted to consider alternatives on how customers utilize the resource, specifically human consump tion (Fedler, 2017). In 2000, the World Health Organization (WHO) reported over 1 billion people world- wide who were without a reliable water supply (Fedler, 2017; Gleick, 2000). Given the continued growth of human population, the water availability per capita decreases, thus making the resource more scarce (Bohan & Horney, 1991). Using current water consumption rates and population projections, a sufficient supply of fresh water is available to support a global population of roughly 8.3 billion people, whi ch is predicted  to occur around the year 2030; while in the U.S., a population of about 390 million people could be sustained, and estimated to occur around the year 2045 (Fedler, 2017). As those date estimates grow near, action needs to be taken to help p repare for this near certain challenge of having available, usable water for consumption. The manner in which water is used and consumed today will be critical to population sustainability, and this matter extends beyond the shortages experienced by developing countries. Developed countries, including the U.S., are also facing shortfalls and a cultural mindset shift is needed to thwart the idea that water is a resource which is easily accessible and available for all to use and consume (Rouse, 2013). In the U.S., many communities are struggling to maintain their water infrastructure (Maya, 2018).  Opportunities exist to implement improvements in infrastructure systems, which would allow for more available, usable water.  An analysis of the 2017 AWWA State of the Water Industry report revealed that the renewal and improvement of the U.S. aging water and wastewater infrastructure is the top concern among water utility workers (Maya, 2018). The American Society of Civil Engineers (ASCE) 2017 Infrastructure Report Card graded the U.S. water and wastewater systems as D and D+, respectively, based on an A through F grading system with a D grade indicating “infrastructure is in fair to",ttu.edu,Texas Tech University,United States,33.59375255,-101.89959552302756
6,QUANTUM FORMALISM’S CONTRIBUTIONS FOR DECISIONS: THE IDENTIFICATION OF OPTIMAL STRATEGIES,@aui.ma,"Behavioral economics, Engineering design strategies, Optimal strategies, Quantum decision theory, Rationality.","In the traditional human decision making process, alternatives are assessed with regard to the rational objective needs of decision makers. However, exp eriments show that humans often make irrational choices and thus, several paradoxes, fallacies, behavioral and representative biases are identified. In this complex context, Quantum Decision Theory (QDT) is introduced as an effective alternative conceptual framework, which uses some elements of a quantum formalism to consider the complexity of a human decision making, in relation with risk attitude and in the presence of ambiguity and uncertainty. In order to highlight the strength of this theory and its significant usefulness, this paper presents two interesting frameworks. The first one is used for the identification of optimal engineering design strategies, under uncertainties, intention interferences, personal intuitive feelings and behavioral bases. The second framework concerns a general model of a dynamic optimization by a type indeterminate agent, to characterize generic personality types. Keywords Behavioral economics, Engineering design strategies, Optimal strategies, Quantum decision theory, Rationality. Introduction The identification of the decision maker’s needs represents the first step in any decision making process, and for which the goodness of any proposed solution is assessed with appropriate at tributes, related to identified needs and objectives. In addition, proposed solutions are pronounced through the corresponding value model and which ideally, asserts the rational choice of the maximum value as the optimal alternative (Amos and Sarchet, 1980). In this regard, major economic debates frequently evoke the rationality principle, which is considered as a central hypothesis in traditional economic theory (Denton, 1996). In fact, the attribution of the Nobel Prize of Economic Sciences to Arrow (Arrow, 1972), Simon (Simon, 1978), Becker (Becker, 1992) and Lucas (Lucas, 1977) reveals the importance of the rationality concept, in the sense that the rationality hypothesis represents the common evoked question, through the research and development works of all these aforementioned economists. Added to that, the irrationality is refused in widely publicized scientific debates and controversies. To name a few examples, we can evoke for example the stigmatization of the irrationality related to over indebtedness households or to the adventurous investments of some leading banks (Arrow, 1972). On one hand, some economists such as Von Mises ( Salerno, 1990) consider that rationality is inherent to human action insofar as all actions are intentional, and each actor will seek the most appropriate actions, to achieve its own objectives. On the other hand, the rationality for other economists such as Varela and Dupuy ( Dupuy and Varela, 2013) is only a hypothesis, which is linked to the history of the dominant econom ic paradigm and its related axioms. For this group of economists, the dominant view based on the postulate that behavior is explained by the identity, preferences, attitudes and beliefs, is hard to reconcile with the most  of experimental evidences (( Zimbardo, 1969), (Valins and Ray, 1967), (Schachter and Singer, 1962) , (Festinger and Carl smith, 1959), (Bem, 1972) and ( Coleman and Snarey, 2011)). In particular, faced with the same possibilities, an agent may make a different choice depending on the way in which the choice is presented to him, or in the context in which he is placed, whereas the different contexts seem equivalent to this choice. It is also possible that having to make several independent successive choices, the agent preference depends on the order in which these choices are made (( Zey, 2001) and ( Beresford, 2008)). Experiments show that the individual is not simultaneously endowed with preferences with respect to one subset of alternatives, in the sense that the individual behavior is not consistent with the existence of a complete ordering over the universal set of alternatives (Busemeyer and Pothos, 2012).",aui.ma,Al Akhawayn University,Morocco,33.5391007,-5.1067849505058565
7,CONCURRENT ENGINEERING'S FUNCTIONAL ROLE IN MANUFACTURING MEDICAL ROBOTICS,@astate.edu,"Concurrent Engineering, Manufacturing, Design, Quality, Medical, Robotics.","A concurrent engineering approach examines three key factors: Design for Quality, Design for Product Cost, and Design for Life Cycle . Opportunities and obstacles in concurrent engineering practices at medical robotics's design, supply, and manufacturing phases are also acknowledged to evaluate industry stagnation that present challenges to furthering emerging technologies and processes. Additionally, discussion of an improved application of concurrent engineering manufacturing practices through case examples is proven. This study aims to review the difference in concurrent and serial engineering processes to find the most optimal form for product development in medical robotics manufacturing. Furthermore, through its three pillars, future recommendations and applications of concurrent engineering illustrate the encouraging effect on the medical industry through both a technological and humanistic approach. Current technologies on the market in the medical manufacturing industry are exemplified along with the authors' own experience having worked at suppliers of the assembly parts. Future investigations also seek to further both the subject matter and industry. With the proper application of concurrent engineering to technologies in the medical industry, medical breakthroughs can more rapidly be sought and achieved. Keywords Concurrent Engineering, Manufacturing, Design, Quality, Medical, Robotics. Introduction With an ever-growing industry seeded by public health, medical technology continues to push the boundaries of what was once seen as science fiction.  One of the most significant medical technologies to have come around are medical devices. ""The United States remains the largest medical device market in the world: $156 billion (40 percent of the global medical device market in 2017). By 2023, it is expected to grow to $208 billion. U.S. exports of medical devices in key product categories identified by the Department of Commerce exceeded $43 billion in 2018"" (SelectUSA.gov). As one looks back at the history of medical devices and technology, signs of advancing medical practices with these methods can be found in ancient Roman times, and even before. As ti me continued, the use of simplified tools such as medical gloves and thermometers emerged and became standard practice. However, the true revolution of medical technology began with the advent of 21st century technology, such as Integrated Circuit chips and embedded software. Heart monitors, pacemakers, medical testing, MRI, CAT scans, etc. have ushered in a biological reform of how humans perceive and heal the body. Where then, can technology take us next? The near future of the medical industry lies in the realm of medical devices and robotics. This may be as simplified as a replacement joint for a hip, or as complex as robotic- assisted surgery, and everything in between. The one commonality of this near-future medical industry is the reliance on manufacturing and engineering. As the bounds of medical practices are pushed further and further, so do the expectations of what is to be achieved through manufacturing and engineering. This, while seen as quite an ambitious venture, can also be perceived as a ben efit, as competition in both industries will advance technology faster and promote public health. Yet, to accomplish these goals, the manufacturing and engineering industry will need to examine how current production methods are accomplished and look to both fixes known process issues and improve wherever possible. Concurrent Engineering is one of the methods that are still underutilized in the industry. ""Concurrent engineering is an approach used in product development in which the functions of design engi neering, manufacturing engineering, and other departments are integrated to reduce the elapsed time required to bring a new product to market"" (Groover, 2019). With the application of concurrent engineering in more of the manufacturing and engineering industry, better use of resources and an institution of objectives are accomplished. The main reason as to why concurrent and serial engineering have not been",astate.edu,Arkansas State University,United States,35.8447472,-90.67262556246513
8,FIELD SERVICE QUOTING PROCESS IMPROVEMENT USING DMAIC,@astate.edu,"Field Service, Quoting, DMAIC.","It is widely understood that inaccurate quotes can lead to many issues within a project. The more accurate a quote, the higher the chance for project success in terms of financials. If a service does not have an accurate quoting process, it is difficult to track the success or failures of that service. Currently, field service quoting is based off a standard price per day and is multiplied by the length of the trip. This does not consider where the engineer is traveling and what the cost of living in that certain area may be. This can lead to issues within the project as it relates to overall project margin, determining project success, as well as management being surprised by the cost of the expenses. The objective of this study is to conduct a DMAIC process on field service quoting. The cost of room and board, food, and transportation varies greatly across the United States a nd the world. T hese costs can greatly affect the margin of the project and need to be accurately estimated before a trip. A more accurate field service quote allows for more consistent margins on field service trips, an area now where margins can vary significantly. A more consistent margin allows for better profit planning and a better understanding of project success or failure. By a pplying lean six sigma and the DMAIC process, the quoting process has become more accurate when compared with actual costs. Keywords Field Service, Quoting, DMAIC. Introduction Field Service is a major part of the Applications group  and health of the business. The Field Service group travels to customer sites to install, troubleshoot, and support hardware and software for industrial gas turbine power  generation sites. These trips can last anywhere from a day to months depending on the scope of work. Due to the length of these trips and the current pricing structure, field service trips are a great source of revenue for the business . With the revenue making a significant impact on the business, there tends to be scrutiny and attention on  project margins. Depending on the location of the trip, margins  discrepancies of allotted funding vs realized cost  have been known to vary greatly. These margins tend t o go unnoticed if they are more positive but are questioned if they move more in the negative direction. The goal for margin on field service projects is 62%  based on the company’s requirements for employee compensation and expense recapture. If a project has a margin higher than 62%, most of the time there is not much of an explanation for why the margin was higher than expected and upper level management is happy. If the project has a margin lower than 62%, project management , and the field engineers begin to get questioned on why expenses exceeded the daily limit. Currently , field engineers have a daily living expense  amount of $295 dollars a day. Although this may seem very high, when you factor in all the meals and expenses that an engineer on the road will incur, the total amount can exceed the daily living expense amount with ease. When costs exceed the daily living expense amount, the overall project margin begins to decline. Costs that a field engineer will have during a trip include room and board, transportation, and food. These expenses vary greatly depending on  the location of the project site and the time of year. Currently, there is no process to accurately determine the cost of living expenses based on different locations and times of the year. Implementing a tool into the field service quoting process that could accurately predict the cost of living expenses based upon location and time would more accurately predict project expenses . When an engineer travels to a more expensive location, this tool will better prepare management for the expenses that the engineer will most likely incur. For example, the estimated lodging per diem rate  from the GSA  in the month of July in Omaha, Nebraska is $110 a night versus San Francisco, California which is $270 a night. As this one example shows, the cost of lodging varies greatly, as these rates affect the margin, management needs to have a better idea of where the project stands before it is completed.",astate.edu,Arkansas State University,United States,35.8447472,-90.67262556246513
9,OPTIMIZATION OF A PACKAGING STATION USING DMAIC,@astate.edu,"Packaging, Manufacturing, DMAIC, Lean, Engineering, Human Factors","The purpose of this study is to analyze the optimization of the packaging station at Fulfyld. One key tool that is used in determining how to improve the packaging station is to use DMAIC (Define, Measure, Analyze, Implement, Control). Using DMAIC will show  if there are any areas that Fulfyld can do to improve their company. Along with DMAIC, Lean Thinking and 5S tools were utilized when analyzing the process. Throughout this paper , there will be in-depth analysis of the current process, possible solutions f or creating a more efficient packaging process, and recommendations to enhance the process. Creating a more efficient process in packaging will allow for a lower labor cost per package, which will increase the margins for the company. It will enhance the team’s overall work experience and result in a more positive work environment while also creating a financial gain for the company. Keywords Packaging, Manufacturing, DMAIC, Lean, Engineering, Human Factors Introduction Fulfyld is an eCommerce fulfillment service for every step of the supply chain. Fulfyld integrates directly with ecommerce marketplaces and shopping carts to simplify the shipping process for customers. Fulfyld is considered a Third Party Logistics (3PL) company and is solely focused on eCommerce fulfillment (Fulfyld, 2021). A 3PL is an external company [to the customer with the product] that performs all or part of the company ’s logistic functions. A 3PL firm takes care of all supply chain processes, these proces ses include warehouse management, transportation, reporting, etc. (Suresh, Shah, & Baliga, 2017). Through the recent surge in online orders due to COVID-19 Fulfyld has increased its customer base and expanded rapidly. From the drastic increase in demand, F ulfyld is required to fill more orders from acquiring more customers. More customers [products] have resulted in more orders, and more orders have resulted in larger amounts of orders to be packaged. The focus of this study is to determine possible solutions to help improve the packaging station at Fulfyld. By improving the packaging station at Fulfyld it will allow for more efficient use of the packers time, lower labor cost per package, and will increase the profit margin per order, which in turn will escalate cash flow for the company. “Logistics is one of the largest industries in the United States, with millions of shipments nationwide taking place each year” (Cramer, et al. , 2020). Fulfyld is estimated to fill approximately five hundred thousand orders  this year. With that number in mind, it is reasonable to assume there is an ample amount of opportunity to improve the process for the packaging station at Fulfyld. “With the exponential rise of eCommerce giants such as Amazon and Alibaba, the logistics industry faces a daunting task; same-day deliveries of millions of goods with razor-thin margins” (Cramer, et al., 2020). The goal of this study is to improve the process of the packaging station in order to increase margins for Fulfyld. There are many competitors in this industry, and every dollar counts, especially when Fulfyld is a small, start- up company. The packaging station is one small part in a large operation, but it is a major part of the overall process and is important for the growth of the company. Allowing for the packagers to be more efficient will increase morale, productivity, and will allow for new employees to be trained faster so they can be productive in a timelier manner. The objective of this study is to conduct a DMAIC analysis of the company Fulfyld to see if there are ways to improve the logistics operations. Literature Review Logistical fulfillment is a relatively new concept that has recently expanded tremendously due to the increase of",astate.edu,Arkansas State University,United States,35.8447472,-90.67262556246513
