,Title,email,KeyWords,Abstract,domain,Institution,Country,Latitude,Longitude
0,FACTORS AFFECTING SAFETY CULTURE: WHAT’S MISSING?,@oregonstate.edu,"Safety culture, systematic perspective, dynamic nature of culture, national culture, generational differences, intermural","Since the Chernobyl Disaster, the concept of safety culture has been extensively explored in an effort to study and improve an organization’s safety performance through monitoring a nd controlling certain factors within the organization’s safety culture. As cited in the literature, the main factors of safety culture include  organizational and management commitment, organizational and management involvement, employee engagement an d empowerment, rewards systems, and reporting systems. Although these factors may determine aspects of a safety culture, they have been presented and examined as snapshots of the culture; they do not emphasize or account for the slow, but constantly changing dynamic nature of culture. The safety culture, however slow to change, changes over time due to technological advancement and its associated effect on the organization’s operations , and highly influential events such as pandemics or other large scale industrial accidents . This paper argues that although the current research on safety culture and models highlights some factors of safety culture, it lacks the ability to capture and reflect the dynamic change that is happening . The aim of this paper is to  propose a systematic perspective of viewing safety culture such that it captures and reflects the dynamic changes observed in organizational safety c ulture. To highlight safety culture’s dynamic nature, other factors which may  be incorporated into  the safety culture literature for this current time are highlighted. Five factors are identified : staffing alignment and integration, utilization of big data  in productivity and employee surveillance, effect of national culture, variation in generations, and intermural knowledge sharing. Keywords Safety culture, systematic perspective, dynamic nature of culture, national culture, generational differences, intermural knowledge sharing. Introduction Safety culture is a term that has taken different definitions due to differences in research backgrounds and perspectives (Wiegmann et al., 2004). In their report on safety culture, the International Atomic Energ y Agency (IAEA) defines safety culture as “that assembly of characteristics and attitudes in organizations and individuals which establishes that, as an overriding priority, (nuclear plant) safety issues receive the attention warranted by their significanc e.” (IAEA, 1992, p.04). Factors that influence organizational and individual characters and attitudes towards safety have been studied by different researchers. Appendix A presents the factors of safety culture as defined by 25 studies that were found in t he literature. Although all 2 5 works highlight different factors that influence safety culture, most of the highlighted factors fall under seven categories –  management and organizational commitment and involvement in safety, employee behaviors and commitment towards safety, reward systems, report systems, communication, just culture, and employee empowerment and responsibility While these factors may form and describe safety culture, they do so limitedly. . Cultural change is not drastic or sudden; however, culture is dynamic. Cultural change is a slow process but may be accelerated by disruptive ev ents such as technological advancements, drastic change due to large scale events, or change in national culture  (Wesch,",oregonstate.edu,Oregon State University,United States,44.56305595,-123.28392337694638
1,STRUCTURED METHOD FOR SELECTION OF STAKEHOLDER MANAGEMENT TECHNIQUE FOR THE U.S. NAVY’S SAIL TRAINING CRAFT,@nps.edu,"Acquisition management, program management, stakeholder management, stakeholder engagement","Historically, acquisitions of sail training craft (STC) at the United States Naval Academy (USNA) have been over cost and schedule. A review of past acquisitions, revealed that an effective stakeholder management plan could be a possible solution. This paper outlines use of System Engineer Management techniques to frame the problem and help the USNA select a tool to support development and execution of an effective stakeholder management plan for the acquisition of the next generation STC. Utilizing data an alysis techniques, four essential elements to any stakeholder management plan emerged: identify, analyze, engage, and monitor.   Next, measures of performance relative to these essential elements were developed. Eleven commercially available stakeholder man agement techniques were evaluated relative to the essential elements and measures of performance using a morphological box. Ultimately, the Stakeholder Circle technique was selected because it was able to address all four essential elements and best addressed the measures of performance that the STC program office valued most. A crosswalk, between the objectives hierarchy and elements of the morphological box was used to validate that the selected technique addressed the need. If effectively implemented, th e resulting stakeholder management plan could support timely and cost -effective acquisition of the next-generation STC. This work specifically contributes to engineering management by outlining a structured method for selection of a stakeholder management technique to manage for results in a specific context. Future research could include the development of structural stakeholder management elements, improving stakeholder management requirements elicitation, and developing stakeholder management plan valida tion methods. Keywords Acquisition management, program management, stakeholder management, stakeholder engagement Introduction Historically, the acquisition of the Sail Training Craft (STC) at the United States Naval Academy (USNA) has been challenging due to an extensive list of disparate stakeholders, unique requirements, and its multi-purpose use as both a training and a racing  craft. The STC is a relatively simple craft, yet has no fewer than 11 identified formal and informal stakeholders, representing both government, public, and private interest (T. Green e, email, April 23, 2020). In addition to competing interests from multiple stakeholders, the STC remains subject to the federal acquisitions process. During the summer of 2019, the USNA began producing requirements for the third generation of the STC, and problems reminiscent of previous acquisitions reveal ed themselves. It is believed that a formal and properly executed stakeholder management plan could help minimize some of these problems.",nps.edu,Naval Postgraduate School,United States,36.598,-121.875
2,FACE-TO-FACE VERSUS VIRTUAL TRAINING: CAPTURING STUDENTS’ VOICE,@utsouthwestern.edu,"Teamwork, Interprofessional, Health, Education, Qualitative Data, Thematic Analysis.","“Introduction to Teamwork” (ITT) is the first module in the longitudinal curriculum of Team FIRST, an institutionally sponsored quality enhancement plan dedicated to expanding and improving teamwork competencies for health professions and medical students at UT Southwestern. ITT includes multiple interprofessional activities which occurs yearly at a face -to-face gathering. However, due to the limitations caused by COVID -19, this large-scale event was moved to a virtual platform. Although some of the activities were easily adapted to the vi rtual format, others had to be redesigned completely. Implementing these changes in the three  months leading up to the event posed significant challenges. This study aimed to compare students’ feedback in two consecutive years of ITT using Qualitative Data Analysis (QDA). A focus group study was completed to collect student feedback on ITT 2019. For ITT 2020, students’ feedback was collected using a digital survey. According to the QDA, nine  themes were identified including: preparation, organization, techn ology, instruction, facilitators, time, format, learning content, and team dynamics. While seven of these themes were common in both years, technology and format only appeared in ITT 2020 with several comments related to the platform used (Zoom). The majority of the comments received for ITT 2019 pertained to preparation (36%), facilitators (21%), and learning content (20%). In ITT 2020, however, most comments were focused on learning content (26%), technology and facilitators (14% each), and time (12%). Re sults of this study can be utilized by other academic organizations planning to translate established learning modules to a virtual platform . Keywords Teamwork, Interprofessional, Health, Education, Qualitative Data, Thematic Analysis. Introduction A critical step in medical school accreditation includes review by The Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) or similar accrediting body. SACSCOC requires its accredited institutions to undergo a comprehensive decennial review to ensure that each institution continues to meet member-driven standards of quality, which UT Southwestern medical center satisfies through our 2019 Quality Enhancement Plan (QEP) implementation, known as Team FIRST. Team FIRST is dedicated to expanding and improving teamwork training for medical and health professions students at UT Southwestern. Its curriculum consists of five learning modules that progressively build upon each other to teach teamwork competencies  effectively and efficiently. The first module in this longitudinal curriculum is called “Introduction to Teamwork”. “Introduction to Teamwork” (ITT), historically known as Convergence, is the largest interprofessional event at UT Southwestern (>800 student participants). First year medical and other health profession students (including nursing, pharmacy, occupational therapy, public health, etc.) from other regional schools (such as UT Arlington, Texas Women’s University, Texas Tech University, etc.) participate in this event every year. The main goal of this module is to teach students the importance of team -based communication and tools that increase the reliability of information transfer between health care providers. Four learning outcomes are expected from student participants: 1 - Know the roles and responsibilities of team members and teams; 2 - Describe the criticality of team-based communication; 3- Identify why a structured approach to communicati on during handovers is important; and 4 - Demonstrate closed -loop communication ( Hargestam et al., 2013 ). In order to achieve these",utsouthwestern.edu,,,46.3144754,11.0480288
3,NUCLEAR INDUSTRY ANALYSIS – OUTLOOK AND PERCEPTIONS,@utc.edu,"Nuclear, clean energy, CO2 emission, energy demand, fission.","Internal and external industry outlook techniques can be used to identify core organizational competencies and external threats. There is not much work done in the nuclear industry sector that focuses on qualitative and quantitative analysis to identify the industry’s core competence and external threats, especially at a local industry level. In t his study, an internal analysis was performed using a quantitative approach as a first step followed by a qualitative approach was used to capture the general public’s knowledge of the sector in the United States. Internal data from a local nuclear plant was used for internal analysis while a questionnaire was used to study public understanding or perception. Based on initial findings, it is asserted that the general public’s knowledge is very low on the advantages of nuclear power, and the perception of nuclear safety is highly neg ative. Moreover, internal, and external factors are synthesized t hat signified the strength, weakness, opportunity, and threat (SWOT) of the sector. Keywords Nuclear, clean energy, CO2 emission, energy demand, fission. Introduction Industrialization and globalization over the last century has had remarkable benefits to our quality of life. It has made goods more affordable and accessible, contributed to the evolution of medicine, and connected us with cultures around the world (Johnson, 2002; Evans, Patridarion, &  Lambert, 2007; Rafferty, n.a.) . The g lobal economic growth is directly tied to the development of manufacturing, combustion engines, and electric- power lines, among others. At the ceterpiece of f ueling this growth and improvement in our lives is energy generation. Energy in the form of electricity is crucial in achieving sustainable development. Hence, electrical energy consumption and demand has increased continuously over the past hundred years , as electricity has become a necessity to our daily lives and in a way, to our survival. The global electricity demand is projected to nearly double in the next 30 years (Eule, 2018) . As the need and dependence on electricity continues to grow, it is important to understand where this energy comes from. This is important because energy sources have advantages and disadvantages, and some have irreversible adverse effects to our lives and future generations. There is a wide variety of electricity generating sources, ranging from hydropo wer as one of the oldest, to solar and wind, which are more recent in development. According to the U.S. Energy Information Administration (EIA), the three major categories of sources for electricity are fossil fuels (coal, natural gas, and petroleum), nuclear energy, and renewables like hydro and wind, among others (EIA, 2019). Annual report data from the International Energy Agency (IEA), show n in Exhibit 1, indicated that of the above energy sources, coal has been the leading contributor throughout history. Coal amounts to roughly 38% of worldwide gross electricity production, followed by natural gas at nearly 23%, and hydropower around 16% (IEA, 2019) . This breakdown is alarming because it shows that over 60% of the electricity generated comes from burning fossil fuels. Fossil fuels as energy source has its advantages, like being well developed, cheap, and reliable (Gaille, 2017). A major disadvantage is the emission of carbon dioxide and other greenhouse gasses to the atmosphere. Global carbon emissions have increased at an  alarming rate since the mid -20th century. Industrial activities and transportation are major contributors to these emissions. However, electricity generation accounts to 40% of the total amount of carbon dioxide  emissions (IEA, 2019) . The accumulation of these gases in our atmosphere has adverse effects on climate. Continuing to generate electricity from 60% fossil fuels is not a sustainable solution, especially when the demand for energy will continue to grow. The world’s population is expected to increase from approximately",utc.edu,University of Tennessee at Chattanooga,United States,35.0459,-85.2953
4,ENGINEERING QUALITY MANAGEMENT FOR CONSTRUCTION PROJECTS,@astate.edu,"Quality, Construction industry, Quality Management System (QMS), Quality control (QC), Quality assurance (QA),","Managing high quality each phase in the project is never an easy process which can easily be controlled in most of the construction projects. Managing quality requires awareness and full attention to the system as a whole during each process. The objective of this paper is to identify the relative importance of a quality management system and the factors that could affect it, especially in construction. It is important as it saves a lot of time, money, and resources each year because of the inefficient or n on-existing quality levels. A quality management system is used to achieve many goals, and one of the most important goals is ensuring that customer expectations are met, if not exceeded, while minimizing costs. Quality management of construction projects is the most significant part of project management. This paper will show the factors that could affect construction qualities, as well as the characteristics of construction quality information. Keywords Quality, Construction industry, Quality Management System (QMS), Quality control (QC), Quality assurance (QA), Engineering Management (EM). Introduction Sochell (2014) noted that a basis for quality management and analysis is given by the definition of the method. Before creating a system for quality preparation and analysis, it will be important to define the quality definition. In a variety of ways, numerous authors have defined ""quality."" Crosby (1979 and 1984) regarded quality as ""conforming to the specification."" In other words, does the product meet the goal and requirements set by the designers? According to Juran (2000), quality is nothing but ""suitability to use,"" indicating that quality tests performance for its intended use. In project construction, compliance with requirements, specificatio ns, and fitness for a function is equally important in project design, and each customer needs the project being designed to achieve what they intend to achieve. Quality, in other words, is the degree of excellence in which the expectations of customers are met. Construction quality is one of the main concerns facing buyers, designers, and contractors, as defects in this  field are rarely compensated for without substantial expenditure by the parties involved in construction projects. Construction costs re quiring significant current and capital repairs during service make the design  and execution of quality assurance one of the most critical measures for the grateful consumer demands of the finished product. In this context, Radu and Curteanu noted that ""complex scientific problems of construction  quality must be tackled because the consequences of non-quality are much higher than most other goods."" Construction quality is not only a manufacturer’s issue, it is a national issue and, more recently, a European or global issue (Radu & Curteanu, 2002). In order to succeed in this current age, the key for organizations is to maintain quality in both production and services. Therefore, it is desirable that the requirements of the consumers are met by the entities that are responsible for developing, producing, and supplying the products/services with the intention of meeting quality. When achieving quality goals, companies are often faced with certain obstacles called 'quality gaps'. These quality gaps are the result of a lack of understanding of consumer needs, such as product design and process requirements, proper implementation and monitoring of manufacturing and quality control systems, and an inefficient way to deliver services to customers. According to SR EN ISO 9000: 2006, “Quality Management Systems. Fundamentals and Vocabulary”,  Quality Management is “All activities of a general management system that identify and enforce the quality policy, goals and responsibilities, by means such as quality system planning, control, quality assurance, and improvement.” Deac and Vrâncuþ (2012) believe that “The quality management project is there for all the processes required to ensure consistency between the requirements imposed by the beneficiary before the start of this project and the final result”",astate.edu,Arkansas State University,United States,35.8447472,-90.67262556246513
5,ENTREPRENEURSHIP EDUCATION FOR ENGINEERS: TECHNOLOGY EVALUATION AND COMMERCIALIZATION THROUGH PROJECT- BASED LEARNING,@lsbu.ac.uk,"Engineering education, technology entrepreneurship, project-based learning, start-up formation.","Engineers can benefit from gaining skills and knowledge associated with the commercialization of technology and start-up formation as part of the business planning process. This includes understanding how to evaluate emerging technologies towards formulation of new products and services as well as wider practical and transferable skills, such as understanding financial management, risk management, intellectual property and other commercial considerations associated with developing new technologies. This research study provides  insights gained from the delivery of technology entrepreneurship  education for students as part of graduate level engineering programs . This involves students working in project-based teams to evaluate emerging technologies and subsequently prepare a business plan for new venture creation. The experiential learning model is augmented with teaching material and theoretical content on both technology management and business management. The study build s on a supporting literature review to provide an exploration of the main elements of this model for technology entrepreneurship education for engineers, including insights on the pedagogical aspects as well as the unique combination of business and technological focused content. The study concludes with a summary of lessons learned from this application of entrepreneurship education for engineers, which can help practitioners to deliver related programs and inform future research studies. Keywords Engineering education, technology entrepreneurship, project-based learning, start-up formation. Introduction It is widely recognized that entrepreneurship education can benefit engineers (Philbin, 2020) through enabling access to a wider set of transferable skills thereby providing greater options to adapt to future work and career changes (RAE, 2017a).  Indeed, it has been found that there is a growing need for multidisciplinary engineers with access to a wider set of skills (Philbin et al., 2019), where equipping engineers with improved skills and knowledge in entrepreneurship can be viewed in this context (Barba-Sánchez and Atienza-Sahuquillo, 2018). These wider skills have been described as being part of the engineering habits of the mind, which includes systems thinking, adapting, problem -finding, creative problem-solving, visualizing and improving – ultimately focused on enabling the core engineering objective of “ making things that work and making things work better ” (RAE, 2017b). Furthermore, inclusion of entrepreneurship education into engineering programs can support the development of soft skills across areas such as project management, teamwork, communication as well as personal development  (Soares et al., 2013 ). These enterprise related  competencies are viewed as being valuable skills  to possess when graduates are pursuing employment opportunities (Galloway et al., 2006). In order to improve the entrepreneurial mindset of  engineers and over the last couple of decades , there has been an increasing preponderance of academic institutions that have integrated entrepreneurship and business management course s and materials into engineering programs (Nichols and Armstrong, 2003). The case for incorporating entrepreneurship into engineering education can also be linked to the current and potential future challenges and opportunities that engineering faces. Such challenges include mitigating the impact of climate change and adopting renewable forms of energy; enabling sustainable development across society and achievement of the United Nations sustainable development goals (SDGs); providing access to health care, which is becoming increasingly costly; and not least continuing to respond to the COVID -19 pandemic. In this context, for a treatment of how innovation can drive forward sustainable development , see the work of Silvestre  and Ţîrcă (2019). These challenges are however accompanied by many opportunities, such as those associated with the Industry 4.0 technological paradigm (Dalenogare et al., 2018)  and related technologies including the internet -of-things, artificial intelligence and digital twins. This landscape of challenges and opportunities provides fertile ground for engineers to",lsbu.ac.uk,,,46.3144754,11.0480288
6,ENGINEERING MANAGEMENT MASTERS PROGRAMS: ADMINISTRATIVE AND CURRICULAR STRUCTURE,@UNL.edu,,"The American Society for Engineering Management (ASEM) champions the advancement of engineering management (EM) profession a nd discipline of study, publishes several content domains in the Engineering Management Body of Knowledge (EMBOK), and recommends EMBOK as beneficial and necessary to those who wish to pursue a career in EM. However, research and evidence are not prevalent on how closely EM Masters programs have embraced EMBOK or the extent to which their curriculum is aligned with its domains. Moreover, administrative structure of EM graduate programs is not uniform and the degree to which they differ may be a matter of interest to all EM programs, employers, and ASEM. Yet, there is little prior work or recent studies that report aggregate summaries of administrative practices and structure of EM programs. In 2020 the Council of Engineering Management Academic Leaders (CEMAL) embarked on a project by creating a survey to poll EM academic leaders and learn about administrative structure and curricular content of EM master’s degree programs. The project was approved by the ASEM Board of Directors, and feedback from several EM academic leaders was solicited and graciously provided to finalize the survey. This paper reports summaries of findings collected by that survey  and inform on the state of EM master’s degree programs in the United States and internationally. Results will benefit all institutions to benchmark and evaluate their programs with respect to administrative structure and curricular content relative to collective and aggregate findings from national and international institutions that offer EM master’s degrees. Introduction and Literature Review The evolution and rise of E ngineering Management (EM) as a discipline of study may not date back to that of other engineering fields, but the significance, impact, and growth of EM is undeniable as the discipline has made impressive strides in the past four decades. In this section we will present a review of the literature about the history and evolution of the EM discipline, the growth of EM graudate education programs, program certification, the development of  the Engineering Management Body of Knowledge (EMBOK), and a review of EM graduate education. History and evolution of EM discipline: The field of Engineering Management has come a long way since Babcock & Sarchet (1981) asked “Is Engineering Management a Profession?” Engineering Management has firmly established itself as a discipline with its own academics, research agenda, literature, professional societies and conferences, body of knowledge, and other related scholarly activities (Kocaoglu, 1989; Kotnour & Farr, 2005). Although the EM field is rather young, its growth has been significant (Kocaoglu, 1994; Wyrick & Cisse, 2008; Daughton, 2017). Growth of EM graduate education programs: The development and growth of EM educational programs is well documented in the literature (Waters, 1994; Kotnour & Farr, 2005; Omurtag, 2009), the earliest being Kocaoglu’s presentation at the 92nd American Society for Engineering Education Annual Conference in 1984  . Kocaogul followed that presentation with updated information in 1990, and another article in 1994. Engineering Management education programs have kept pace with the growth of the profession and the demand for high quality engineering managers (Kocaoglu, 1994; Omurtag, 2009; Daughton, 2017). The number of master’s degree level graduates and institutions granting those degrees grew consistently since the 60’s (Wyrick, 2008), but in 2017 Daughton reported that the number of programs reporting graduates had leveled-off. One challenge in tracking the growth of EM education is defining what constitutes an engineering and/or technology management education program (Daughton, 2017). In 2007 Omurtag used ASEE data to report on the",UNL.edu,,,46.3144754,11.0480288
7,HIGH MOBILITY MULTIPURPOSE WHEELED VEHICLE (HMMWV) LIFECYCLE COST ANALYSIS AND DECISION SUPPORT,@westpoint.edu,"Monte Carlo simulation, decision support tool, lifecycle cost analysis, HMMWV","The Office of the Assistant Secretary of the Army for Acquisition, Logistics, and Technology (ASA(ALT)) participates in decisio n-making with other Army Senior Leaders regarding the funding of new systems.  The Army must manage the balance between its modernization efforts and readiness of the current systems. The ability to identify and analyze economic tradeoffs and the impact of resourcing decisions on the modernization and readiness of the Army is a specialized study and difficult effort. The lack of data -driven decisions in these areas negatively impacts the ability of the Army to accomplish its vision of having the best equipp ed Army that maintains the technological advantage and capabilities against any threat in any environment. This study facilitates data -driven decisions and analysis that can be expanded and applied to vehicles in the ground mobility fleet. This effort targ ets the Army’s ground mobility fleet, with an initial focus on the High Mobility Multipurpose Wheeled Vehicle (HMMWV). This study provides data analysis and visualization of the lifecycle of the HMMWV to inform and facilitate decision- making. This study also develops a model to project the economic impact of the current HMMWV fleet using Monte Carlo simulation. Monte Carlo simulation accounts for uncertainty inherent in military operations and variability in the use of the fleet. Additionally, this work highlights the development of a decision support tool to evaluate potential readiness and modernization alternatives. This decision support tool allows for the analysis of potential excursions for lifecycle development decisions and optimality of when to make those decisions. Keywords Monte Carlo simulation, decision support tool, lifecycle cost analysis, HMMWV Introduction The Office of the Assistant Secretary of the Army for Acquisition, Logistics, and Technology's (ASA(ALT)) mission is to provide Soldiers a decisive advantage in any mission by maintaining quality acquisition professionals to develop, acquire, field, and sustain the world's best equipment and services through efficient leveraging of technologies and capabilities to meet current and future Army needs. As part of this mission, the ASA(ALT) makes decisions regarding the funding of the procurement of new systems and must manage the balance between the Army’s modernization efforts and the readiness of the current systems. The ASA(ALT) currently d oes not have the ability to identify and analyze economic tradeoffs and the impact of resourcing decisions on the modernization and readiness of the Army. The lack of data driven decisions in these areas negatively impacts the ability of ASA(ALT) to accomp lish its vision of having the best equipped Army that maintains the technological advantage and capabilities against any threat in any environment. In an attempt to address the problems stated above, this study examines the High Mobility Multipurpose Wheeled Vehicle (HMMWV) fleet as a prototype that can be expanded to additional ground mobility fleet platforms. The study begins by conducting data analysis on HMMWV  usage which is then used to conduct a lifecycle cost analysis using Monte Carlo simulation. Finally, a decision support tool is constructed to allow decision-makers to assess the impacts of potential key decisions on the lifecycle cost of the platform. One of the key decisions to make is determining when to conduct a recapitalization of assets (REC AP) on the vehicle. A RECAP essentially resets the vehicle to like -new condition with the potential to add capability upgrades  as well. These tools are designed to b e expanded to other ground mobility fleet platforms.",westpoint.edu,,,46.3144754,11.0480288
8,FACTORS AFFECTING ONLINE FOOD DELIVERY E-COMMERCE: A CUSTOMER SURVEY AND DECISION TREE ANALYSIS,@miami.edu,"online food delivery industry, customer satisfaction survey, decision tree analysis","The introduction of innovative techniques by e-commerce and courier companies has led to the development of a new business model aimed at online food ordering and delivery in the last decade. The revenue of this industry increased to $91.4 billion USD in 2018, and is expected to reach $156.8 billion USD in 2023, with an annual growth rate of 11.4%. As in other industries, the ability to understand the customers’ experience and how they define value are central to the success of the online food delivery industry. In this study, we developed a conceptual framework which ties together all the intervening factors affecting online food delivery. Additionally, we conducted a customer survey aimed at studying these variables and used statistical tools and decision tree analysis for understanding the influential factors in online food delivery business. This proposed methodology can facilitate decision makers to be tter understand the most important factors contributing to customer overall satisfaction, and act accordingly to accommodate their needs. Keywords online food delivery industry, customer satisfaction survey, decision tree analysis Introduction Delivering mail and packages is not a modern-day industry. As early as 1852, Wells Fargo started to help customers moving gold and other items to newly established territories, what was known as the earliest private express company. In the late 1800’s to early 1900’s, the invention of railway systems and cars, rapidly changed the industry and made delivering packages possible far and wide. Speed and convenience started becoming more important to customers in this era. Unlike the traditional way of delivering restaurant meals to the home, online food delivery connects food providers and customers with a website or an app, which highly improves the business visibility and convenience, but simultaneously sets up a higher requirement on the ordering and del ivery management process. Consequently, the interrelationship between the product—food—and the service—delivery—is even more complicated. According to Statista, the business of online meal delivery, is undergoing rapid growth. The revenue of this sector increased to $91.4 billion USD in 2018, and is expected to reach $156.8 billion USD in 2023, with an annual growth rate of 11.4%. Meanwhile, the number of users of this service is expected to rise from 1013.4 million in 2018 to 1635.6 million in 2023, which makes this industry a growing force that should not be ignored (Statista, 2019). Online Food Delivery comprises two service solutions for prepared meals: ⅰ) Platform -to-Consumer (P2C) Delivery and ⅱ) Restaurant -to-Consumer (R2C) Delivery. The Platform -to-Consumer segment focuses on delivery services that provide customers with meals  from partner restaurants, and the platform (e.g., Uber Eats, Doordash) handles the delivery process. In the Restaurant -to-Consumer Delivery segment, the delivery of meals is processed directly by the restaurants. The order can be made via platforms (e.g., Delivery Hero) or directly through a restaurant website (e.g., Domino's, Pizza Hut). The share of these two segments in total revenue was almost equal in 2019. However, based on industry forecast, the segment of R2C, which had a larger revenue in 2018, is constantly losing its market share and expected to become $7,533 million less than the revenue of P2C segment by 2023 (Statista, 2019). During the recent COVID-19 pandemic, in order to avoid public gathering, restaurants worldwide have been ordered to close or limit dine-in service by local governments and offer takeaway-only services. The coronavirus crisis further accelerated consumers' shift to third -party delivery apps. According to NPD Group (an American market research company), online ordering and delivery orders soared 67% in March 2020, even though overall restaurant traffic dropped 22% (Lucas, 2020). In the meantime, a new survey conducted in the UK, July 2020, reveals that almost 19% of restaurants interviewed started offering takeaway services during the pandemic, and almost all of them (98%) are",miami.edu,University of Miami,United States,25.71727245,-80.2787068732586
9,AN EXAMINATION OF ABET ACCREDITED UNDERGRADUATE ENGINEERING MANAGEMENT PROGRAMS IN THE US,@ecu.edu,"Engineering management courses, undergraduate programs, engineering management education, ABET .","This paper examines the focus and curriculum structure of the ABET accredited undergraduate programs in the United States with the title ""Engineering Management."" It segments the curriculum into credit hours related to mathematics / science, engineering science, and engineering management related content . The strategic role of the program in the department or college is also examined, along with the options and electives within the degree. This paper will be of interest to academic leaders in the engineering management field and to anyone considering develo pment of an undergraduate engineering management program. Keywords Engineering management courses, undergraduate programs, engineering management education, ABET . Introduction This paper benchmarks  ABET accredited undergraduate Engineering Management (EM) programs  in the United States. The goal of the study is to provide a resource for  development of future programs and for decisions related to revisions of existing EM  programs. The analysis divides the program content into the following primary curric ular areas for comparison: • Math /science related credits for each program. • Engineering science courses required by each program. • Engineering management related course content There are 28 ABET accredited undergraduate programs with the word “management” in the program title and this list is contained in Appendix 1 (ABETa, 2021) . Ten of these programs have the specific title of “Engineering Management.” Two of these ten are international programs and two are based at mil itary service academies . Of the ten titled Engineering management, the remaining six were selected to benchmark and are listed below: Public • Missouri University of Science and Technology (MS&T) • University of Arizona • California State University, Northridge (CSUN) Private or faith based: • Gonzaga University • University of the Pacific (UOP) • Stevens Institute of Technology (Stevens) The next section provides a general overview of the six programs as a general foundation for analysis of the course content.",ecu.edu,East Carolina University,United States,35.63285115,-77.48526724763182
